,from,to
39,"{""name"": ""Location39 in Rectangle 2"", ""coordinates"": [105.709486, 8.433679]}","{""name"": ""Location39 in Rectangle 2"", ""coordinates"": [104.841926, 8.544238]}"
40,"{""name"": ""Location40 in Rectangle 1"", ""coordinates"": [102.692949, 19.759034]}","{""name"": ""Location40 in Rectangle 2"", ""coordinates"": [103.497968, 8.570485]}"
41,"{""name"": ""Location41 in Rectangle 1"", ""coordinates"": [103.465543, 19.939223]}","{""name"": ""Location41 in Rectangle 2"", ""coordinates"": [99.486693, 8.57122]}"
42,"{""name"": ""Location42 in Rectangle 1"", ""coordinates"": [100.862188, 19.824494]}","{""name"": ""Location42 in Rectangle 2"", ""coordinates"": [102.55261, 8.437318]}"
43,"{""name"": ""Location43 in Rectangle 2"", ""coordinates"": [106.010298, 8.536249]}","{""name"": ""Location43 in Rectangle 1"", ""coordinates"": [103.606279, 19.465076]}"
44,"{""name"": ""Location44 in Rectangle 2"", ""coordinates"": [103.600598, 8.595511]}","{""name"": ""Location44 in Rectangle 2"", ""coordinates"": [98.721012, 8.443882]}"
45,"{""name"": ""Location45 in Rectangle 2"", ""coordinates"": [97.342131, 8.572755]}","{""name"": ""Location45 in Rectangle 2"", ""coordinates"": [104.289926, 8.465279]}"
46,"{""name"": ""Location46 in Rectangle 2"", ""coordinates"": [105.457231, 8.435606]}","{""name"": ""Location46 in Rectangle 2"", ""coordinates"": [105.357022, 8.394595]}"
47,"{""name"": ""Location47 in Rectangle 1"", ""coordinates"": [102.886599, 19.612581]}","{""name"": ""Location47 in Rectangle 1"", ""coordinates"": [106.266369, 19.770461]}"
48,"{""name"": ""Location48 in Rectangle 1"", ""coordinates"": [97.311763, 19.753275]}","{""name"": ""Location48 in Rectangle 2"", ""coordinates"": [101.24924, 8.482099]}"
49,"{""name"": ""Location49 in Rectangle 1"", ""coordinates"": [101.556111, 19.750198]}","{""name"": ""Location49 in Rectangle 1"", ""coordinates"": [100.863751, 19.712906]}"
50,"{""name"": ""Location50 in Rectangle 2"", ""coordinates"": [99.506136, 8.537767]}","{""name"": ""Location50 in Rectangle 1"", ""coordinates"": [99.809973, 19.915002]}"
51,"{""name"": ""Location51 in Rectangle 1"", ""coordinates"": [99.227616, 19.443976]}","{""name"": ""Location51 in Rectangle 2"", ""coordinates"": [103.344596, 8.445359]}"
52,"{""name"": ""Location52 in Rectangle 2"", ""coordinates"": [97.84541, 8.57448]}","{""name"": ""Location52 in Rectangle 1"", ""coordinates"": [101.141278, 19.956583]}"
53,"{""name"": ""Location53 in Rectangle 2"", ""coordinates"": [98.276609, 8.44457]}","{""name"": ""Location53 in Rectangle 1"", ""coordinates"": [101.434407, 19.599719]}"
54,"{""name"": ""Location54 in Rectangle 2"", ""coordinates"": [105.875011, 8.594878]}","{""name"": ""Location54 in Rectangle 2"", ""coordinates"": [98.303623, 8.424304]}"
55,"{""name"": ""Location55 in Rectangle 1"", ""coordinates"": [105.260162, 19.744213]}","{""name"": ""Location55 in Rectangle 2"", ""coordinates"": [102.561538, 8.454796]}"
56,"{""name"": ""Location56 in Rectangle 2"", ""coordinates"": [101.64187, 8.585758]}","{""name"": ""Location56 in Rectangle 2"", ""coordinates"": [105.487447, 8.494103]}"
57,"{""name"": ""Location57 in Rectangle 1"", ""coordinates"": [102.80148, 19.840378]}","{""name"": ""Location57 in Rectangle 2"", ""coordinates"": [100.953071, 8.414031]}"
58,"{""name"": ""Location58 in Rectangle 1"", ""coordinates"": [101.388843, 19.82086]}","{""name"": ""Location58 in Rectangle 2"", ""coordinates"": [99.808986, 8.461617]}"
59,"{""name"": ""Location59 in Rectangle 1"", ""coordinates"": [104.759905, 19.799874]}","{""name"": ""Location59 in Rectangle 2"", ""coordinates"": [99.033893, 8.431808]}"
60,"{""name"": ""Location60 in Rectangle 2"", ""coordinates"": [99.909414, 8.450379]}","{""name"": ""Location60 in Rectangle 1"", ""coordinates"": [101.022107, 19.940038]}"
61,"{""name"": ""Location61 in Rectangle 2"", ""coordinates"": [104.912529, 8.391744]}","{""name"": ""Location61 in Rectangle 1"", ""coordinates"": [98.59133, 19.889887]}"
62,"{""name"": ""Location62 in Rectangle 2"", ""coordinates"": [105.956641, 8.465057]}","{""name"": ""Location62 in Rectangle 1"", ""coordinates"": [99.188774, 19.842039]}"
63,"{""name"": ""Location63 in Rectangle 1"", ""coordinates"": [101.256521, 19.729109]}","{""name"": ""Location63 in Rectangle 1"", ""coordinates"": [102.032407, 19.781896]}"
64,"{""name"": ""Location64 in Rectangle 2"", ""coordinates"": [104.845053, 8.5036]}","{""name"": ""Location64 in Rectangle 1"", ""coordinates"": [97.391615, 19.578402]}"
65,"{""name"": ""Location65 in Rectangle 1"", ""coordinates"": [105.240021, 19.758526]}","{""name"": ""Location65 in Rectangle 1"", ""coordinates"": [100.881863, 19.983231]}"
66,"{""name"": ""Location66 in Rectangle 1"", ""coordinates"": [97.901482, 19.824461]}","{""name"": ""Location66 in Rectangle 2"", ""coordinates"": [99.900205, 8.417659]}"
67,"{""name"": ""Location67 in Rectangle 1"", ""coordinates"": [104.348712, 20.033631]}","{""name"": ""Location67 in Rectangle 2"", ""coordinates"": [101.40806, 8.540041]}"
68,"{""name"": ""Location68 in Rectangle 2"", ""coordinates"": [105.392408, 8.536667]}","{""name"": ""Location68 in Rectangle 2"", ""coordinates"": [101.570992, 8.39971]}"
69,"{""name"": ""Location69 in Rectangle 1"", ""coordinates"": [97.5921, 19.80161]}","{""name"": ""Location69 in Rectangle 1"", ""coordinates"": [103.935409, 19.614265]}"
70,"{""name"": ""Location70 in Rectangle 2"", ""coordinates"": [103.312992, 8.566061]}","{""name"": ""Location70 in Rectangle 2"", ""coordinates"": [105.981995, 8.401905]}"
71,"{""name"": ""Location71 in Rectangle 1"", ""coordinates"": [105.669846, 20.068081]}","{""name"": ""Location71 in Rectangle 2"", ""coordinates"": [98.570392, 8.494739]}"
72,"{""name"": ""Location72 in Rectangle 2"", ""coordinates"": [100.172307, 8.497951]}","{""name"": ""Location72 in Rectangle 1"", ""coordinates"": [102.616482, 19.623348]}"
73,"{""name"": ""Location73 in Rectangle 2"", ""coordinates"": [98.758135, 8.585802]}","{""name"": ""Location73 in Rectangle 1"", ""coordinates"": [99.456609, 19.76994]}"
74,"{""name"": ""Location74 in Rectangle 1"", ""coordinates"": [105.353235, 19.719049]}","{""name"": ""Location74 in Rectangle 1"", ""coordinates"": [98.304933, 19.844728]}"
75,"{""name"": ""Location75 in Rectangle 1"", ""coordinates"": [97.980427, 19.682782]}","{""name"": ""Location75 in Rectangle 2"", ""coordinates"": [101.097099, 8.424231]}"
76,"{""name"": ""Location76 in Rectangle 1"", ""coordinates"": [102.064663, 19.872857]}","{""name"": ""Location76 in Rectangle 1"", ""coordinates"": [104.114167, 19.899076]}"
77,"{""name"": ""Location77 in Rectangle 2"", ""coordinates"": [103.411487, 8.461933]}","{""name"": ""Location77 in Rectangle 2"", ""coordinates"": [102.866025, 8.446692]}"
78,"{""name"": ""Location78 in Rectangle 2"", ""coordinates"": [103.24202, 8.489175]}","{""name"": ""Location78 in Rectangle 1"", ""coordinates"": [100.198591, 20.101065]}"
79,"{""name"": ""Location79 in Rectangle 1"", ""coordinates"": [105.055445, 20.058996]}","{""name"": ""Location79 in Rectangle 2"", ""coordinates"": [100.853326, 8.495282]}"
80,"{""name"": ""Location80 in Rectangle 1"", ""coordinates"": [103.583937, 19.731083]}","{""name"": ""Location80 in Rectangle 2"", ""coordinates"": [99.01517, 8.509484]}"
81,"{""name"": ""Location81 in Rectangle 1"", ""coordinates"": [103.814773, 19.961461]}","{""name"": ""Location81 in Rectangle 1"", ""coordinates"": [100.31887, 19.450664]}"
82,"{""name"": ""Location82 in Rectangle 1"", ""coordinates"": [99.129245, 19.957698]}","{""name"": ""Location82 in Rectangle 2"", ""coordinates"": [104.520681, 8.447941]}"
83,"{""name"": ""Location83 in Rectangle 2"", ""coordinates"": [103.828224, 8.500609]}","{""name"": ""Location83 in Rectangle 2"", ""coordinates"": [101.282638, 8.551517]}"
84,"{""name"": ""Location84 in Rectangle 1"", ""coordinates"": [102.831327, 19.830316]}","{""name"": ""Location84 in Rectangle 2"", ""coordinates"": [101.014833, 8.50662]}"
85,"{""name"": ""Location85 in Rectangle 2"", ""coordinates"": [104.707953, 8.579418]}","{""name"": ""Location85 in Rectangle 1"", ""coordinates"": [103.686986, 20.046522]}"
86,"{""name"": ""Location86 in Rectangle 1"", ""coordinates"": [102.94334, 19.608617]}","{""name"": ""Location86 in Rectangle 2"", ""coordinates"": [99.260254, 8.561806]}"
87,"{""name"": ""Location87 in Rectangle 1"", ""coordinates"": [106.141945, 19.664809]}","{""name"": ""Location87 in Rectangle 2"", ""coordinates"": [98.381401, 8.553227]}"
88,"{""name"": ""Location88 in Rectangle 1"", ""coordinates"": [98.317326, 19.689259]}","{""name"": ""Location88 in Rectangle 1"", ""coordinates"": [102.813765, 19.542645]}"
89,"{""name"": ""Location89 in Rectangle 2"", ""coordinates"": [104.581286, 8.593152]}","{""name"": ""Location89 in Rectangle 1"", ""coordinates"": [102.567767, 19.602922]}"
90,"{""name"": ""Location90 in Rectangle 1"", ""coordinates"": [104.120953, 20.104608]}","{""name"": ""Location90 in Rectangle 1"", ""coordinates"": [97.966998, 19.671795]}"
91,"{""name"": ""Location91 in Rectangle 2"", ""coordinates"": [105.896504, 8.425055]}","{""name"": ""Location91 in Rectangle 2"", ""coordinates"": [100.840343, 8.583762]}"
92,"{""name"": ""Location92 in Rectangle 2"", ""coordinates"": [99.108022, 8.440367]}","{""name"": ""Location92 in Rectangle 1"", ""coordinates"": [102.743309, 19.774603]}"
93,"{""name"": ""Location93 in Rectangle 1"", ""coordinates"": [103.464917, 19.56666]}","{""name"": ""Location93 in Rectangle 1"", ""coordinates"": [105.376085, 19.870765]}"
94,"{""name"": ""Location94 in Rectangle 1"", ""coordinates"": [99.071181, 20.101481]}","{""name"": ""Location94 in Rectangle 2"", ""coordinates"": [103.717867, 8.529732]}"
95,"{""name"": ""Location95 in Rectangle 1"", ""coordinates"": [101.57007, 20.041844]}","{""name"": ""Location95 in Rectangle 1"", ""coordinates"": [105.329086, 20.061355]}"
96,"{""name"": ""Location96 in Rectangle 1"", ""coordinates"": [103.564337, 20.074233]}","{""name"": ""Location96 in Rectangle 1"", ""coordinates"": [105.245658, 19.890803]}"
97,"{""name"": ""Location97 in Rectangle 2"", ""coordinates"": [102.367184, 8.507643]}","{""name"": ""Location97 in Rectangle 1"", ""coordinates"": [97.365946, 19.664574]}"
98,"{""name"": ""Location98 in Rectangle 1"", ""coordinates"": [101.156967, 19.98517]}","{""name"": ""Location98 in Rectangle 1"", ""coordinates"": [105.566005, 20.053173]}"
99,"{""name"": ""Location99 in Rectangle 1"", ""coordinates"": [103.235873, 19.452865]}","{""name"": ""Location99 in Rectangle 1"", ""coordinates"": [101.617437, 19.803688]}"
100,"{""name"": ""Location100 in Rectangle 2"", ""coordinates"": [100.083655, 8.584687]}","{""name"": ""Location100 in Rectangle 1"", ""coordinates"": [105.602052, 19.904018]}"
101,"{""name"": ""Location101 in Rectangle 1"", ""coordinates"": [101.963098, 19.766437]}","{""name"": ""Location101 in Rectangle 1"", ""coordinates"": [104.291669, 19.782878]}"
102,"{""name"": ""Location102 in Rectangle 2"", ""coordinates"": [98.972532, 8.478973]}","{""name"": ""Location102 in Rectangle 2"", ""coordinates"": [99.945348, 8.546444]}"
103,"{""name"": ""Location103 in Rectangle 2"", ""coordinates"": [99.766069, 8.430467]}","{""name"": ""Location103 in Rectangle 2"", ""coordinates"": [98.745336, 8.568535]}"
104,"{""name"": ""Location104 in Rectangle 2"", ""coordinates"": [99.425403, 8.428245]}","{""name"": ""Location104 in Rectangle 1"", ""coordinates"": [100.114097, 19.831791]}"
105,"{""name"": ""Location105 in Rectangle 2"", ""coordinates"": [97.663744, 8.517171]}","{""name"": ""Location105 in Rectangle 2"", ""coordinates"": [105.503235, 8.449369]}"
106,"{""name"": ""Location106 in Rectangle 2"", ""coordinates"": [97.826786, 8.56972]}","{""name"": ""Location106 in Rectangle 2"", ""coordinates"": [101.11589, 8.537086]}"
107,"{""name"": ""Location107 in Rectangle 2"", ""coordinates"": [99.996568, 8.416429]}","{""name"": ""Location107 in Rectangle 1"", ""coordinates"": [99.061426, 19.835797]}"
108,"{""name"": ""Location108 in Rectangle 2"", ""coordinates"": [101.665225, 8.422706]}","{""name"": ""Location108 in Rectangle 2"", ""coordinates"": [97.425663, 8.545206]}"
109,"{""name"": ""Location109 in Rectangle 1"", ""coordinates"": [106.442661, 20.034171]}","{""name"": ""Location109 in Rectangle 1"", ""coordinates"": [102.598937, 19.874715]}"
110,"{""name"": ""Location110 in Rectangle 2"", ""coordinates"": [97.194968, 8.387382]}","{""name"": ""Location110 in Rectangle 1"", ""coordinates"": [98.558156, 19.805382]}"
111,"{""name"": ""Location111 in Rectangle 2"", ""coordinates"": [102.090648, 8.570356]}","{""name"": ""Location111 in Rectangle 2"", ""coordinates"": [99.697039, 8.564895]}"
112,"{""name"": ""Location112 in Rectangle 2"", ""coordinates"": [97.403709, 8.391826]}","{""name"": ""Location112 in Rectangle 2"", ""coordinates"": [99.149732, 8.450449]}"
113,"{""name"": ""Location113 in Rectangle 2"", ""coordinates"": [105.787424, 8.595459]}","{""name"": ""Location113 in Rectangle 2"", ""coordinates"": [105.799109, 8.47183]}"
114,"{""name"": ""Location114 in Rectangle 1"", ""coordinates"": [100.513757, 20.025206]}","{""name"": ""Location114 in Rectangle 1"", ""coordinates"": [102.126021, 19.457147]}"
115,"{""name"": ""Location115 in Rectangle 2"", ""coordinates"": [102.841229, 8.569777]}","{""name"": ""Location115 in Rectangle 2"", ""coordinates"": [103.263438, 8.446309]}"
116,"{""name"": ""Location116 in Rectangle 2"", ""coordinates"": [101.355295, 8.402012]}","{""name"": ""Location116 in Rectangle 1"", ""coordinates"": [98.379339, 19.470822]}"
117,"{""name"": ""Location117 in Rectangle 2"", ""coordinates"": [101.992103, 8.518073]}","{""name"": ""Location117 in Rectangle 2"", ""coordinates"": [100.024125, 8.586417]}"
118,"{""name"": ""Location118 in Rectangle 2"", ""coordinates"": [97.585212, 8.553624]}","{""name"": ""Location118 in Rectangle 1"", ""coordinates"": [103.686847, 19.738439]}"
119,"{""name"": ""Location119 in Rectangle 2"", ""coordinates"": [104.111312, 8.509672]}","{""name"": ""Location119 in Rectangle 1"", ""coordinates"": [98.372479, 19.548295]}"
120,"{""name"": ""Location120 in Rectangle 1"", ""coordinates"": [105.864483, 19.959349]}","{""name"": ""Location120 in Rectangle 1"", ""coordinates"": [105.304867, 19.526631]}"
121,"{""name"": ""Location121 in Rectangle 2"", ""coordinates"": [100.118448, 8.399433]}","{""name"": ""Location121 in Rectangle 2"", ""coordinates"": [101.062766, 8.544003]}"
122,"{""name"": ""Location122 in Rectangle 1"", ""coordinates"": [102.690747, 20.044618]}","{""name"": ""Location122 in Rectangle 1"", ""coordinates"": [103.37617, 19.605282]}"
123,"{""name"": ""Location123 in Rectangle 1"", ""coordinates"": [100.031882, 19.941313]}","{""name"": ""Location123 in Rectangle 2"", ""coordinates"": [97.615282, 8.576413]}"
124,"{""name"": ""Location124 in Rectangle 1"", ""coordinates"": [101.064622, 20.061312]}","{""name"": ""Location124 in Rectangle 2"", ""coordinates"": [105.712818, 8.552983]}"
125,"{""name"": ""Location125 in Rectangle 1"", ""coordinates"": [106.136165, 20.009152]}","{""name"": ""Location125 in Rectangle 1"", ""coordinates"": [102.443437, 19.834268]}"
126,"{""name"": ""Location126 in Rectangle 2"", ""coordinates"": [105.685396, 8.487623]}","{""name"": ""Location126 in Rectangle 1"", ""coordinates"": [101.067504, 19.848068]}"
127,"{""name"": ""Location127 in Rectangle 1"", ""coordinates"": [101.68714, 19.595638]}","{""name"": ""Location127 in Rectangle 2"", ""coordinates"": [98.775481, 8.523461]}"
128,"{""name"": ""Location128 in Rectangle 1"", ""coordinates"": [99.854371, 19.567657]}","{""name"": ""Location128 in Rectangle 2"", ""coordinates"": [102.86992, 8.570976]}"
129,"{""name"": ""Location129 in Rectangle 1"", ""coordinates"": [106.130542, 19.865773]}","{""name"": ""Location129 in Rectangle 2"", ""coordinates"": [103.3181, 8.3956]}"
130,"{""name"": ""Location130 in Rectangle 1"", ""coordinates"": [105.55057, 19.889496]}","{""name"": ""Location130 in Rectangle 1"", ""coordinates"": [98.351662, 19.676772]}"
131,"{""name"": ""Location131 in Rectangle 2"", ""coordinates"": [98.712382, 8.573907]}","{""name"": ""Location131 in Rectangle 2"", ""coordinates"": [103.694402, 8.524987]}"
132,"{""name"": ""Location132 in Rectangle 1"", ""coordinates"": [101.639531, 19.826842]}","{""name"": ""Location132 in Rectangle 2"", ""coordinates"": [99.760184, 8.567282]}"
133,"{""name"": ""Location133 in Rectangle 1"", ""coordinates"": [99.115877, 19.820375]}","{""name"": ""Location133 in Rectangle 1"", ""coordinates"": [104.564439, 19.829477]}"
134,"{""name"": ""Location134 in Rectangle 1"", ""coordinates"": [100.398405, 19.448058]}","{""name"": ""Location134 in Rectangle 2"", ""coordinates"": [98.39949, 8.582483]}"
135,"{""name"": ""Location135 in Rectangle 2"", ""coordinates"": [100.008355, 8.595221]}","{""name"": ""Location135 in Rectangle 2"", ""coordinates"": [99.981961, 8.556219]}"
136,"{""name"": ""Location136 in Rectangle 1"", ""coordinates"": [98.963335, 19.715722]}","{""name"": ""Location136 in Rectangle 1"", ""coordinates"": [98.293357, 19.44486]}"
137,"{""name"": ""Location137 in Rectangle 1"", ""coordinates"": [104.927698, 20.019249]}","{""name"": ""Location137 in Rectangle 1"", ""coordinates"": [105.011747, 19.781018]}"
138,"{""name"": ""Location138 in Rectangle 1"", ""coordinates"": [99.344795, 19.465077]}","{""name"": ""Location138 in Rectangle 2"", ""coordinates"": [102.296814, 8.493014]}"
139,"{""name"": ""Location139 in Rectangle 1"", ""coordinates"": [101.265038, 19.520078]}","{""name"": ""Location139 in Rectangle 1"", ""coordinates"": [104.299234, 19.773181]}"
140,"{""name"": ""Location140 in Rectangle 1"", ""coordinates"": [101.638046, 19.931484]}","{""name"": ""Location140 in Rectangle 1"", ""coordinates"": [105.274366, 19.499243]}"
141,"{""name"": ""Location141 in Rectangle 2"", ""coordinates"": [102.499751, 8.511388]}","{""name"": ""Location141 in Rectangle 2"", ""coordinates"": [104.094495, 8.393017]}"
142,"{""name"": ""Location142 in Rectangle 1"", ""coordinates"": [101.232245, 19.47175]}","{""name"": ""Location142 in Rectangle 1"", ""coordinates"": [97.891389, 19.642281]}"
143,"{""name"": ""Location143 in Rectangle 1"", ""coordinates"": [99.500787, 19.489536]}","{""name"": ""Location143 in Rectangle 1"", ""coordinates"": [106.289541, 19.958157]}"
144,"{""name"": ""Location144 in Rectangle 1"", ""coordinates"": [106.266688, 19.537984]}","{""name"": ""Location144 in Rectangle 1"", ""coordinates"": [98.347305, 19.889339]}"
145,"{""name"": ""Location145 in Rectangle 2"", ""coordinates"": [103.056105, 8.478539]}","{""name"": ""Location145 in Rectangle 2"", ""coordinates"": [100.911491, 8.536346]}"
146,"{""name"": ""Location146 in Rectangle 2"", ""coordinates"": [101.579924, 8.46938]}","{""name"": ""Location146 in Rectangle 2"", ""coordinates"": [105.48263, 8.403237]}"
147,"{""name"": ""Location147 in Rectangle 1"", ""coordinates"": [101.530697, 19.488814]}","{""name"": ""Location147 in Rectangle 2"", ""coordinates"": [99.502764, 8.460915]}"
148,"{""name"": ""Location148 in Rectangle 1"", ""coordinates"": [98.818803, 19.593063]}","{""name"": ""Location148 in Rectangle 1"", ""coordinates"": [105.773811, 20.025414]}"
149,"{""name"": ""Location149 in Rectangle 1"", ""coordinates"": [103.422248, 19.578296]}","{""name"": ""Location149 in Rectangle 1"", ""coordinates"": [99.443351, 19.569295]}"
150,"{""name"": ""Location150 in Rectangle 1"", ""coordinates"": [100.02927, 19.925614]}","{""name"": ""Location150 in Rectangle 2"", ""coordinates"": [104.576456, 8.401005]}"
151,"{""name"": ""Location151 in Rectangle 1"", ""coordinates"": [104.598569, 19.838985]}","{""name"": ""Location151 in Rectangle 1"", ""coordinates"": [103.328461, 19.458041]}"
152,"{""name"": ""Location152 in Rectangle 1"", ""coordinates"": [104.361789, 19.661998]}","{""name"": ""Location152 in Rectangle 1"", ""coordinates"": [103.287938, 19.66448]}"
153,"{""name"": ""Location153 in Rectangle 1"", ""coordinates"": [101.638266, 20.098552]}","{""name"": ""Location153 in Rectangle 2"", ""coordinates"": [105.748389, 8.422741]}"
154,"{""name"": ""Location154 in Rectangle 2"", ""coordinates"": [102.281995, 8.456556]}","{""name"": ""Location154 in Rectangle 1"", ""coordinates"": [104.21068, 19.79412]}"
